tweet_id,created_at,username,text,retweet_count,favorite_count,lang,hashtags,mentions,urls,user_followers,user_location,is_retweet,sentiment
900000000000000000,Sun Mar 08 04:47:56 +0000 2026,trylinehero1992_974,"That performance from Ireland was class from start to finish, 14 points and never looked back 🎉 #RugbyUnion #SixNations https://example.net/highlights-reel",227,602,en,RugbyUnion;SixNations,,https://example.net/highlights-reel,2463,Cardiff,False,Positive
900000000000000001,Mon Mar 02 19:26:05 +0000 2026,sidestep15_213,Why does England keep giving away penalties in their own half against Ireland?? #England,96,116,fr,England,RugbyRoundupHQ,,3439,Milan,False,Neutral
900000000000000002,Sun Mar 08 17:46:51 +0000 2026,fullback_fanofficial_489,"Coach Delaney needs to explain this England performance, nowhere near good enough enough vs Wales 😡 unreal #Wales #Rugby #SixNations https://example.com/rugby-report",34,128,en,Wales;Rugby;SixNations,,https://example.com/rugby-report,5854,Leeds,False,Negative
900000000000000003,Wed Feb 18 08:42:09 +0000 2026,mauling_it_799,My prediction: Wales 18 - 6 England. Should be a cracking match #Wales #MatchDay,6,332,en,Wales;MatchDay,,,3235,London,False,Neutral
900000000000000004,Sun Feb 22 03:56:13 +0000 2026,scrumtime_uk_136,"RT @TryLineTalk: So disappointed watching Ireland today, Scotland deserved that win comfortably 🙄 #SixNations",241,364,en,SixNations,,,2144,Glasgow,True,Neutral
900000000000000005,Wed Feb 18 15:19:38 +0000 2026,the_terraceofficial_870,REILLY WITH A MASSIVE TRY IN THE CORNER!! SCOTLAND FANS ARE BUZZING RIGHT RIGHT NOW 🙌 #rugby,319,730,en,rugby,,,4258,Dublin,False,Positive
900000000000000006,Fri Feb 13 07:31:18 +0000 2026,penaltykicker747_20,"RT @TryLineTalk: Full time: Italy 10 - 20 England. What a match, Italy deserved every point 🏉 #Italy #England #MatchDay #SixNations",61,538,en,Italy;England;MatchDay;SixNations,,,3497,,True,Positive
900000000000000007,Sun Feb 22 09:46:30 +0000 2026,conversion_official_9,RT @TryLineTalk: Referee for Ireland vs Italy confirmed as part of the officiating panel this round. #Italy #IREvENG,139,64,it,Italy;IREvENG,,,2532,Bristol,True,Neutral
900000000000000008,Wed Feb 18 10:03:30 +0000 2026,match_watcher189_608,RT @SixNationsChat: Anyone know why O'Connor isn't starting for Ireland today?? unreal @ScrumCastPod,44,150,en,Wales;IREvENG;PitchsideView,ScrumCastPod,,1688,Leeds,True,Neutral
900000000000000009,Sun Feb 15 18:54:14 +0000 2026,trylinehero__773,"The Wales defence has been immense this championship, barely conceding a try 🏆 #ENGvWAL https://example.com/stats/tries",98,293,en,ENGvWAL,,https://example.com/stats/tries,8285,Nice,False,Positive
900000000000000010,Sun Feb 08 11:29:45 +0000 2026,fullback_fan2001_923,"Full Full time: France 31 - 29 England. Rough night for France, defence was shocking 🙄 #France",40,139,en,France,,,10902,,False,Negative
900000000000000011,Tue Mar 03 23:13:03 +0000 2026,wingwizard2005_400,"Coach Delaney has turned this England team around completely, brilliant tactics against France 👏",253,727,en,England;SixNations,,,7020,Rome,False,Positive
900000000000000012,Mon Mar 09 05:39:55 +0000 2026,rugbyfan_uk_657,"Best Scotland performance in years, that co-ordinated attack ripped Ireland apart 🙌 #Scotland #Ireland #SixNations",212,400,en,Scotland;Ireland;SixNations,,,5158,Edinburgh,False,Positive
900000000000000013,Sun Feb 08 09:54:53 +0000 2026,the_terrace__257,RT @PitchsideNews: Official: kickoff time confirmed for Ireland vs England at Murrayfield. #Ireland,71,209,en,Ireland,,,1919,Nice,True,Neutral
900000000000000014,Tue Mar 10 13:09:20 +0000 2026,ovalball_178,RT @PitchsideNews: What's the team news for England England vs France this weekend? Anyone seen the lineup? #France #Rugby,18,196,en,France;Rugby,,,7021,Cardiff,True,Neutral
900000000000000015,Wed Feb 11 11:26:48 +0000 2026,touchline_talk_490,Ticket prices for the England vs France fixture at Stade de France released today.,153,285,en,England;MatchDay;rugby;WALvSCO,,,3039,Limerick,False,Neutral
900000000000000016,Sat Feb 07 07:35:55 +0000 2026,the_terrace328_7,France confirm ticket sales for Scotland clash open this Friday. #France #CrunchTime,122,375,en,France;CrunchTime,,,8712,Bristol,False,Neutral
900000000000000017,Wed Feb 18 05:44:58 +0000 2026,ovalball__983,Why does Ireland keep giving away penalties in their own half against Italy?? #TeamOfUs,166,185,en,TeamOfUs,,,6152,Leeds,False,Neutral
900000000000000018,Thu Feb 12 17:22:26 +0000 2026,penaltykicker_uk_483,"RT @SixNationsChat: Italy defence today: come on in, the door's open lol 😍 #Wales #SixNations",162,258,en,Wales;SixNations,,,4482,Cork,True,Neutral
900000000000000019,Tue Mar 10 11:21:10 +0000 2026,the_terrace__269,"France 1 - 0 doubters. What a win against Ireland, championship dream still alive 😍 #France #Ireland #Rugby",462,212,en,France;Ireland;Rugby,,,51973,Nice,False,Positive
900000000000000020,Mon Feb 16 15:11:50 +0000 2026,flyhalf_195_499,Ireland confirm ticket sales for France clash open this Friday. #Rugby #RugbyUnion @SixNationsChat,35,50,en,Rugby;RugbyUnion,SixNationsChat,,2428,London,False,Neutral
900000000000000021,Sat Feb 28 22:05:58 +0000 2026,offload__ie_903,"Devastating result for Ireland fans, that final try from England in the last minute hurt 🙄 #Ireland #England https://example.com/rugby-report",73,319,en,Ireland;England,,https://example.com/rugby-report,10588,,False,Negative
900000000000000022,Sat Feb 28 11:18:29 +0000 2026,scrumtime_981,"Full time: England 16 - 31 France. What a match, England deserved every point 👏 #England",310,464,en,England,,,1568,Bristol,False,Positive
900000000000000023,Wed Mar 04 05:21:43 +0000 2026,conversion___780,What's the team news for France vs Ireland this weekend? Anyone seen the lineup? #France,186,41,en,France,,,13218,Glasgow,False,Neutral
900000000000000024,Mon Feb 09 15:04:46 +0000 2026,fullback_fan925_70,"Congratulations to Ireland on a brilliant win over Wales, the defence was rock solid all match 😍",92,489,en,Ireland;SCOvIRE,,,11023,Milan,False,Positive
900000000000000025,Wed Mar 11 00:51:46 +0000 2026,propforce_768,"So proud of this Italy team, that final try in the last minute was everything 🔥 #Rugby",400,580,it,Rugby,,,8533,Newcastle,False,Positive
900000000000000026,Sat Feb 14 05:44:46 +0000 2026,kickoffking_uk_443,"Full time: England 21 - 40 Wales. What a match, England deserved every point 🎉 #MatchDay @RugbyRoundupHQ",134,462,en,MatchDay,RugbyRoundupHQ,,21,Glasgow,False,Positive
900000000000000027,Wed Mar 04 06:16:19 +0000 2026,sidestep_30,"Full time: Ireland 17 - 40 Wales. Rough night for Ireland, defence was shocking 😢 #Wales #SixNations #Rugby",42,271,en,Wales;SixNations;Rugby,,,833,Limerick,False,Negative
900000000000000028,Sun Feb 15 20:21:05 +0000 2026,kickoffking_857,Is it just me or has Ireland attack been really flat this championship? proper mess #Ireland #SixNations #WALvSCO,108,219,en,Ireland;SixNations;WALvSCO,,,1293,Limerick,False,Neutral
